Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Be the Person You Want to Find: Relationship and Self-Discovery,Cheri Huber,June Shiver (Illustrator),9780963625526,paperback,read,2022/08/28,2022/08/27,2022/08/27,1,"",,,,,,,4.0,,"",,"self-help, psychology",No
The Obstacle Is the Way: The Timeless Art of Turning Trials Into Triumph,Ryan Holiday,"",9781591846352,hardcover,read,2020/12/17,2020/12/18,2020/12/18,1,"",,,,,,,5.0,,"",,"philosophy, self-help",No
"Stamped: Racism, Antiracism, and You","Ibram X. Kendi, Jason Reynolds","",9780316453691,hardcover,read,2020/12/17,2021/02/14,2021/02/14,1,"",,,,,,,5.0,,"",,racism,No
Ender's Game,Orson Scott Card,"",9780812550702,paperback,read,2023/05/13,2023/05/13,2023/05/06-2023/05/13,1,adventurous,fast,"","","","","",4.0,"","","",fiction,No
Ego Is the Enemy,Ryan Holiday,"",9781591847816,hardcover,read,2020/08/25,2020/07/01,2020/07/01,1,"",,,,,,,5.0,,"",,"philosophy, self-help",No
Innumeracy: Mathematical Illiteracy and Its Consequences,John Allen Paulos,"",9780809058402,paperback,read,2022/01/04,2022/01/05,2022/01/05,1,"",,,,,,,4.0,,"",,"mathematics, science",No
How to Think Like a Roman Emperor: The Stoic Philosophy of Marcus Aurelius,Donald J. Robertson,"",,,read,2021/03/11,2021/03/11,2021/03/11,1,"",,,,,,,5.0,,"",,"philosophy, psychology, history",No
Being Logical: A Guide to Good Thinking,D. Q. McInerny,"",9780812971156,paperback,read,2021/04/05,2021/04/05,2021/04/05,1,"",,,,,,,3.0,,"",,"self-help, logic",No
Dark and Magical Places: The Neuroscience of Navigation,"Christopher Kemp, Christopher Kemp","",9781324005384,hardcover,to-read,2021/11/14,"","",0,"",,,,,,,,,"",,"",No
100 Questions Every First-Time Home Buyer Should Ask,Ilyce R. Glink,"",,,read,2023/02/28,2023/02/28,2023/02/28-2023/02/28,1,"",fast,,,,,,4.0,"","","","home-buying, finance",No
Finite and Infinite Games: A Vision of Life as Play and Possibility,James P. Carse,"",9780345341846,paperback,read,2021/11/11,2021/11/11,2021/11/11,1,"",,,,,,,3.0,,"",,philosophy,No
